Member_number,Date,itemDescription,Frequency,Frequency_per_date,Item_Sold
1252,2015-04-13,pork,10,6,3
4804,2015-12-27,tropical fruit,17,6,7
4041,2015-09-07,rolls/buns,11,6,6
1894,2015-08-04,hamburger meat,14,6,3
4977,2015-08-20,pip fruit,9,6,2
2171,2015-09-03,whole milk,18,6,5
3417,2015-12-15,pastry,8,6,2
1175,2015-06-10,whole milk,19,6,7
4946,2015-02-17,sausage,18,6,4
4662,2015-06-27,canned beer,16,6,2
2869,2015-12-10,beef,14,6,1
4053,2015-03-22,canned beer,6,6,1
4574,2015-11-30,frankfurter,21,6,3
1110,2015-11-15,pastry,18,6,1
4700,2015-03-04,sausage,16,6,3
2565,2015-04-29,tropical fruit,12,6,3
2468,2015-03-13,whole milk,8,6,6
4836,2015-11-13,sausage,19,6,1
3504,2015-09-22,root vegetables,19,6,3
1333,2015-04-03,frozen meals,18,6,1
4039,2015-12-27,other vegetables,12,6,4
2077,2015-05-15,chicken,15,6,1
3519,2015-12-13,bottled water,13,6,1
2989,2015-01-30,whole milk,12,6,2
3737,2015-05-05,whole milk,33,6,5
3558,2015-09-19,frankfurter,17,6,2
3036,2015-07-13,beef,17,6,1
3180,2015-07-03,sausage,36,6,2
2978,2015-05-09,sausage,19,6,3
3985,2015-10-23,candy,15,6,1
4903,2015-12-08,sausage,8,6,3
2835,2015-10-09,citrus fruit,19,6,3
3783,2015-06-22,sausage,23,6,4
1486,2015-12-14,other vegetables,17,6,2
4589,2015-10-08,sausage,16,6,3
1132,2015-02-19,other vegetables,10,6,4
4827,2015-11-27,canned beer,14,6,1
3361,2015-06-28,detergent,22,6,2
4681,2015-09-11,citrus fruit,14,6,2
4197,2015-10-26,beef,17,6,2
3701,2015-01-22,other vegetables,12,6,4
4195,2015-10-01,bottled beer,10,6,1
3429,2015-04-01,other vegetables,18,6,4
2430,2015-01-20,fruit/vegetable juice,12,6,1
4330,2015-04-08,misc. beverages,18,6,1
1783,2015-03-18,tropical fruit,18,6,4
4025,2015-11-04,pip fruit,12,6,3
3399,2015-07-19,sausage,15,6,3
4766,2015-01-03,root vegetables,17,6,3
3562,2015-08-13,zwieback,18,6,1
2447,2015-01-21,chicken,21,6,3
1396,2015-07-22,tropical fruit,8,6,3
4633,2015-04-26,tropical fruit,14,6,4
4695,2015-01-05,root vegetables,26,6,1
1706,2015-08-14,canned beer,14,6,2
3872,2015-11-23,beef,30,6,1
1444,2015-10-14,hamburger meat,20,6,2
4753,2015-11-08,other vegetables,23,6,6
4580,2015-11-29,liquor (appetizer),8,6,1
2516,2015-04-03,pip fruit,8,6,1
2415,2015-08-08,newspapers,14,6,2
3925,2015-03-25,turkey,8,6,1
4996,2015-11-24,rolls/buns,10,6,5
4569,2015-07-27,sausage,12,6,5
3509,2015-04-11,beef,14,6,1
2252,2015-10-08,whole milk,21,6,4
1634,2015-02-09,whole milk,19,6,2
4112,2015-04-27,pip fruit,18,6,2
4042,2015-08-08,meat,16,6,2
4473,2015-06-26,hamburger meat,14,6,1
3878,2015-04-30,photo/film,16,6,1
2266,2015-09-30,other vegetables,9,6,4
3304,2015-11-30,root vegetables,10,6,4
3757,2015-02-04,other vegetables,18,6,1
3440,2015-12-21,citrus fruit,6,6,2
4328,2015-02-04,beef,12,6,1
3737,2015-12-06,frankfurter,33,6,1
3948,2015-06-15,ham,15,6,1
3682,2015-03-05,soda,19,6,3
2827,2015-10-31,bottled beer,8,6,2
2650,2015-10-05,soda,16,6,2
1360,2015-12-16,turkey,16,6,1
3679,2015-12-23,pork,21,6,4
4137,2015-03-07,citrus fruit,26,6,3
4235,2015-12-19,grapes,19,6,1
3193,2015-01-31,other vegetables,13,6,5
1332,2015-12-02,root vegetables,15,6,2
4821,2015-11-28,tropical fruit,14,6,2
1837,2015-07-09,rolls/buns,12,6,2
3665,2015-09-23,citrus fruit,8,6,2
2659,2015-05-08,yogurt,16,6,4
1322,2015-01-09,chicken,15,6,2
1599,2015-05-29,tropical fruit,14,6,4
2933,2015-04-06,tropical fruit,8,6,2
3963,2015-02-21,other vegetables,14,6,2
4178,2015-06-03,margarine,20,6,1
1052,2015-10-27,pork,27,6,4
4693,2015-08-18,frankfurter,18,6,3
1329,2015-02-02,ham,16,6,3
3128,2015-06-13,cream cheese ,17,6,1
1175,2015-06-30,bottled water,19,6,2
2211,2015-03-31,canned beer,13,6,3
2093,2015-06-12,frozen potato products,16,6,1
4284,2015-10-14,pip fruit,10,6,1
4449,2015-03-30,citrus fruit,10,6,2
4269,2015-04-01,frankfurter,10,6,4
1962,2015-04-05,other vegetables,10,6,3
2250,2015-10-04,chicken,8,6,1
1743,2015-11-13,pip fruit,14,6,1
1583,2015-07-28,frankfurter,21,6,3
4295,2015-10-26,frozen meals,11,6,1
1183,2015-06-29,root vegetables,16,6,2
2729,2015-03-21,beef,18,6,2
4035,2015-08-03,sausage,13,5,2
1608,2015-08-06,whole milk,18,5,6
1793,2015-07-03,beef,25,5,3
2210,2015-07-09,pork,19,5,3
1885,2015-07-03,artif. sweetener,11,5,1
1078,2015-10-28,frankfurter,7,5,2
1016,2015-09-30,rolls/buns,11,5,1
3077,2015-05-29,canned beer,17,5,1
3551,2015-05-01,mayonnaise,9,5,2
1158,2015-10-17,rolls/buns,11,5,5
2443,2015-06-20,sausage,21,5,4
1395,2015-01-15,hard cheese,23,5,2
2454,2015-11-10,frankfurter,20,5,2
3472,2015-04-30,frankfurter,12,5,1
3547,2015-11-28,bottled water,19,5,2
1038,2015-02-21,sausage,19,5,3
3915,2015-09-11,whole milk,31,5,8
2719,2015-04-19,citrus fruit,14,5,2
2234,2015-12-23,pork,21,5,4
1565,2015-12-14,condensed milk,19,5,1
1328,2015-03-24,sausage,10,5,4
3398,2015-01-18,brown bread,11,5,1
3687,2015-02-12,whole milk,19,5,4
1572,2015-05-23,frankfurter,20,3,2
3460,2015-11-24,domestic eggs,16,2,1
2352,2015-05-05,sausage,6,2,2
4816,2015-07-31,other vegetables,2,2,8
1152,2015-07-19,pork,8,2,3
1120,2015-06-11,other vegetables,17,2,3
4258,2015-07-18,frankfurter,13,2,2
4336,2015-09-10,beef,15,2,3
1395,2015-08-25,pork,23,2,2
3581,2015-09-24,white bread,20,2,1
1762,2015-07-01,dessert,4,2,1
2659,2015-12-08,pip fruit,16,2,2
4120,2015-01-17,sausage,11,2,2
2420,2015-03-08,frankfurter,10,2,2
2816,2015-09-30,chicken,24,2,2
1711,2015-02-26,chicken,19,2,1
2884,2015-12-28,other vegetables,8,2,2
4153,2015-06-13,house keeping products,22,2,2
2184,2015-05-11,pork,24,2,2
4381,2015-09-30,bathroom cleaner,6,2,2
2920,2015-03-27,beverages,11,2,1
3967,2015-01-21,butter,16,2,1
3135,2015-03-13,sausage,6,2,2
3459,2015-08-05,canned beer,9,2,4
2868,2015-01-09,salt,21,2,1
2989,2015-01-06,beef,12,2,1
1440,2015-09-06,shopping bags,12,2,3
2796,2015-05-19,curd,12,2,2
1074,2015-10-16,fruit/vegetable juice,10,2,1
2565,2015-09-28,sausage,12,2,3
1197,2015-01-16,sausage,18,2,2
1971,2015-08-16,sausage,8,2,1
3327,2015-03-26,grapes,14,2,2
1168,2015-03-06,frankfurter,9,2,2
2814,2015-09-18,berries,17,2,3
3298,2015-05-26,citrus fruit,10,2,2
3728,2015-11-12,canned beer,13,2,1
2116,2015-08-29,canned beer,4,2,2
1139,2015-01-19,tropical fruit,9,2,1
2463,2015-12-26,whole milk,6,2,2
2978,2015-06-27,whole milk,19,2,3
4525,2015-10-07,other vegetables,15,2,3
1213,2015-09-14,citrus fruit,13,2,3
4332,2015-11-24,pork,4,2,4
1729,2015-12-15,beef,15,2,1
1695,2015-02-04,meat,2,2,2
3503,2015-11-29,canned beer,2,2,2
3686,2015-01-06,whole milk,9,2,3
4264,2015-05-11,curd cheese,9,2,1
1545,2015-02-28,citrus fruit,7,2,4
3195,2015-07-08,cooking chocolate,6,2,1
1409,2015-02-17,whole milk,6,2,4
2800,2015-06-21,sugar,13,2,1
4453,2015-07-27,chicken,18,2,1
4820,2015-01-18,citrus fruit,18,2,2
3716,2015-10-08,sausage,9,2,3
3270,2015-05-15,whole milk,2,2,8
3410,2015-01-16,whole milk,14,2,4
3651,2015-10-16,rolls/buns,21,2,5
2049,2015-01-06,pork,9,2,2
3507,2015-08-27,root vegetables,18,2,2
3184,2015-11-20,citrus fruit,14,2,2
2648,2015-01-29,citrus fruit,13,2,3
1566,2015-02-24,whole milk,21,2,4
4105,2015-02-05,pork,10,2,3
3537,2015-01-25,citrus fruit,13,2,3
2300,2015-08-05,frankfurter,10,2,3
3794,2015-01-04,citrus fruit,11,2,2
3756,2015-07-11,sausage,10,2,2
4197,2015-02-06,chicken,17,2,4
4661,2015-05-10,other vegetables,17,2,5
3738,2015-12-30,onions,10,2,2
4567,2015-10-02,hamburger meat,12,2,1
2831,2015-01-06,frankfurter,9,2,3
4841,2015-06-09,canned beer,11,2,2
1776,2015-04-15,bottled water,14,2,2
1364,2015-07-31,soda,8,2,3
1926,2015-10-16,turkey,6,2,1
3496,2015-09-22,rolls/buns,10,2,2
1498,2015-10-28,frozen vegetables,8,2,1
4436,2015-12-23,other vegetables,2,2,6
4098,2015-02-06,pork,11,2,2
4707,2015-02-11,soda,4,2,1
4358,2015-06-11,turkey,6,2,1
3290,2015-05-29,sausage,2,2,2
1940,2015-06-04,whole milk,11,2,2
3363,2015-08-18,newspapers,13,2,1
1782,2015-08-01,coffee,13,2,1
2756,2015-11-23,hamburger meat,10,2,1
4379,2015-10-01,turkey,4,2,1
4686,2015-10-08,sausage,13,2,3
1230,2015-04-06,whole milk,14,2,4
2918,2015-07-19,sausage,21,2,3
4604,2015-12-09,other vegetables,4,2,4
4489,2015-11-19,shopping bags,8,2,3
4408,2015-04-20,pork,9,2,3
1846,2015-05-28,pork,12,2,3
1658,2015-06-15,beef,12,2,2
3046,2015-01-09,sausage,23,2,1
4528,2015-10-13,whole milk,4,2,5
1132,2015-09-22,soda,10,2,3
2386,2015-12-05,canned beer,12,2,2
4741,2015-09-08,beef,17,2,3
3971,2015-10-19,frankfurter,15,2,2
3029,2015-02-14,other vegetables,6,2,2
2758,2015-02-06,other vegetables,20,2,2
3969,2015-03-05,root vegetables,5,2,1
2829,2015-10-29,pip fruit,10,2,1
4573,2015-12-23,sausage,16,2,3
4726,2015-07-08,other vegetables,8,2,3
3929,2015-11-06,pork,9,2,2
1286,2015-07-10,meat,16,2,1
1648,2015-05-01,pork,10,2,2
1544,2015-02-25,dessert,9,2,1
2925,2015-03-16,other vegetables,16,2,2
1276,2015-11-23,condensed milk,13,2,1
1908,2015-07-26,ice cream,20,2,1
2519,2015-05-30,chicken,14,2,1
3096,2015-07-07,root vegetables,7,2,1
1001,2015-05-02,frankfurter,12,2,3
4699,2015-03-29,hamburger meat,18,2,2
1417,2015-09-18,UHT-milk,10,2,1
4034,2015-08-29,frankfurter,6,2,3
4711,2015-06-19,pastry,8,2,2
3584,2015-12-17,other vegetables,14,2,4
2981,2015-12-03,onions,9,2,2
1820,2015-03-21,pastry,10,2,2
3793,2015-04-15,citrus fruit,18,2,1
1965,2015-08-04,hamburger meat,4,2,3
4903,2015-05-01,chicken,8,2,1
1845,2015-02-11,whole milk,7,2,5
2384,2015-01-02,chicken,6,2,1
2584,2015-04-25,shopping bags,20,2,1
1193,2015-11-12,citrus fruit,4,2,5
4267,2015-09-06,citrus fruit,14,2,3
2707,2015-05-05,chicken,17,2,2
3214,2015-05-08,bottled beer,15,2,1
1171,2015-01-15,specialty chocolate,10,2,2
1950,2015-11-11,other vegetables,10,2,4
4737,2015-09-19,pork,2,2,1
3589,2015-11-04,whole milk,13,2,2
2246,2015-08-29,beef,5,2,2
2128,2015-08-10,sausage,11,2,2
3866,2015-04-21,root vegetables,10,2,3
1882,2015-07-09,chicken,6,2,2
2574,2015-08-25,turkey,11,2,1
2011,2015-12-22,soda,18,2,1
4223,2015-07-20,root vegetables,17,2,2
2068,2015-04-07,sausage,12,2,3
3035,2015-05-09,pastry,13,2,3
2597,2015-05-08,sausage,15,2,3
1306,2015-01-08,yogurt,9,2,3
1789,2015-04-24,pip fruit,10,2,2
1003,2015-02-10,sausage,8,2,2
3378,2015-01-13,ham,9,2,3
4460,2015-05-01,meat,8,2,2
1961,2015-06-21,other vegetables,12,2,5
4576,2015-06-18,meat,14,2,1
3061,2015-02-10,rolls/buns,8,2,5
1016,2015-07-19,chicken,11,2,2
3528,2015-05-19,sausage,12,2,1
4566,2015-03-10,canned beer,13,2,2
1979,2015-11-20,yogurt,17,2,1
3662,2015-12-03,chicken,8,2,1
2700,2015-05-13,hamburger meat,9,2,1
2432,2015-12-12,whole milk,14,2,3
2693,2015-08-17,frankfurter,11,2,4
1456,2015-11-20,newspapers,18,2,2
4081,2015-10-20,whole milk,6,2,1
4588,2015-06-30,rolls/buns,21,2,3
1892,2015-03-08,other vegetables,15,2,2
1922,2015-02-07,sausage,19,2,1
1440,2015-12-06,sausage,12,2,4
1420,2015-06-19,canned beer,11,2,4
2273,2015-10-21,tropical fruit,14,2,3
4910,2015-11-25,condensed milk,6,2,1
4593,2015-08-04,margarine,10,2,1
1380,2015-11-21,whole milk,11,2,10
4035,2015-07-26,yogurt,13,2,3
3063,2015-12-28,processed cheese,10,2,1
2558,2015-08-12,grapes,2,2,1
1744,2015-06-27,canned beer,4,2,2
3162,2015-06-06,soda,2,2,3
3216,2015-02-12,whole milk,4,2,4
4783,2015-01-27,sausage,21,2,4
2592,2015-09-25,pork,16,2,2
3141,2015-07-19,pork,17,2,3
2315,2015-12-20,turkey,14,2,1
3318,2015-01-12,other vegetables,4,2,2
4594,2015-05-02,whipped/sour cream,18,2,5
2428,2015-08-14,hard cheese,17,2,1
4613,2015-05-17,pork,12,4,3
1676,2015-10-11,citrus fruit,10,4,3
1259,2015-11-21,sausage,14,4,1
3930,2015-07-12,citrus fruit,8,4,2
3995,2015-06-26,other vegetables,4,4,5
1038,2015-12-14,Instant food products,19,4,1
4794,2015-09-06,sausage,11,4,3
3960,2015-09-21,frankfurter,23,4,1
3077,2015-01-05,chicken,17,4,2
1161,2015-03-14,other vegetables,7,4,2
1800,2015-04-16,chicken,12,4,1
1717,2015-11-09,chicken,8,4,2
1888,2015-06-06,ham,14,4,3
2138,2015-03-04,pip fruit,18,4,2
1866,2015-02-13,sausage,18,4,3
4745,2015-09-29,ham,17,4,3
1269,2015-09-12,other vegetables,14,4,2
4721,2015-06-15,sausage,19,4,2
2885,2015-03-22,tropical fruit,14,4,4
1435,2015-04-24,ham,15,4,1
1887,2015-02-03,tropical fruit,22,4,4
4776,2015-03-26,canned beer,17,4,2
4313,2015-05-16,sugar,10,4,1
3545,2015-08-28,bottled water,11,4,2
2307,2015-03-12,whole milk,11,4,4
1215,2015-01-18,pip fruit,9,4,4
1428,2015-01-18,rolls/buns,13,4,2
4297,2015-10-27,whole milk,23,4,3
1812,2015-10-14,hamburger meat,4,4,2
2217,2015-12-02,soda,8,4,2
2378,2015-04-15,whipped/sour cream,4,4,1
2397,2015-06-23,organic sausage,6,4,2
3419,2015-08-20,onions,10,4,1
4131,2015-03-29,sausage,11,4,4
2220,2015-08-04,sausage,6,4,3
3870,2015-03-21,root vegetables,6,4,3
1483,2015-06-14,root vegetables,20,4,3
3449,2015-11-29,pork,8,4,2
1959,2015-12-13,whole milk,19,4,4
4825,2015-01-17,ham,14,4,1
3289,2015-05-02,frankfurter,29,4,3
1256,2015-08-29,UHT-milk,12,4,2
3369,2015-03-23,frozen vegetables,15,4,1
2191,2015-10-25,pip fruit,10,4,2
4645,2015-12-06,tropical fruit,20,4,3
3818,2015-08-08,meat,15,4,2
3857,2015-11-04,other vegetables,14,4,3
3651,2015-07-31,root vegetables,21,4,2
3689,2015-07-29,liqueur,10,4,1
2361,2015-10-03,soda,10,4,5
2513,2015-12-15,margarine,12,4,3
2110,2015-07-29,frankfurter,8,4,3
4895,2015-07-21,sugar,11,4,1
2756,2015-07-31,sausage,10,4,5
1960,2015-01-09,chicken,4,4,2
3924,2015-10-29,domestic eggs,14,4,1
3020,2015-08-27,condensed milk,8,4,1
4531,2015-08-10,canned beer,17,4,3
4901,2015-02-14,frankfurter,8,4,4
3787,2015-09-24,pork,9,4,2
3688,2015-09-24,whole milk,15,4,4
4717,2015-04-10,tropical fruit,15,4,4
2210,2015-09-25,pork,19,4,2
4152,2015-05-29,root vegetables,16,4,3
4507,2015-06-18,citrus fruit,6,4,4
1118,2015-05-13,house keeping products,18,4,1
4953,2015-05-07,pip fruit,16,4,1
4417,2015-01-21,ham,15,4,1
2358,2015-12-15,waffles,9,4,1
3122,2015-02-05,beverages,24,4,1
3920,2015-05-10,beverages,11,4,1
4592,2015-12-08,citrus fruit,16,4,1
1326,2015-11-09,ice cream,11,4,1
3729,2015-11-29,salty snack,8,4,2
2627,2015-10-31,rolls/buns,8,4,1
3393,2015-11-07,white bread,20,4,1
4302,2015-08-03,tropical fruit,20,4,2
1734,2015-02-15,chocolate,17,4,2
3635,2015-02-26,whole milk,21,4,7
3232,2015-12-18,yogurt,16,4,2
2805,2015-04-18,coffee,11,4,3
2214,2015-01-19,soda,4,4,3
4725,2015-12-02,butter milk,10,4,2
4975,2015-11-02,pork,13,4,1
3393,2015-02-23,condensed milk,20,4,1
4456,2015-08-08,sugar,17,4,2
4744,2015-08-29,frankfurter,15,4,3
1264,2015-07-30,sausage,17,4,6
3104,2015-05-18,bottled water,18,4,2
4966,2015-01-25,sausage,6,4,5
4183,2015-01-15,salty snack,17,4,2
3786,2015-02-10,light bulbs,13,4,1
3299,2015-02-28,onions,11,4,1
1656,2015-07-07,tropical fruit,12,4,3
4753,2015-03-05,soups,23,4,1
2857,2015-04-18,whole milk,15,4,5
3692,2015-10-18,bottled water,12,4,1
2613,2015-08-23,other vegetables,17,4,7
3509,2015-07-08,soda,14,4,3
3048,2015-10-06,frankfurter,19,4,1
1160,2015-08-21,domestic eggs,15,4,2
2629,2015-04-26,curd cheese,19,4,1
1444,2015-06-06,butter,20,4,3
2578,2015-12-01,whole milk,18,4,6
4184,2015-06-28,pastry,8,4,1
3201,2015-11-27,tropical fruit,17,4,1
3311,2015-05-02,misc. beverages,8,4,1
4294,2015-01-08,other vegetables,14,4,6
2283,2015-01-18,root vegetables,7,4,3
3325,2015-11-07,ham,13,4,2
3621,2015-11-02,rolls/buns,18,4,6
1968,2015-10-03,pastry,11,4,2
3717,2015-04-01,fruit/vegetable juice,10,4,1
4704,2015-08-18,chewing gum,11,4,2
3904,2015-05-11,sausage,8,4,2
2336,2015-10-07,other vegetables,11,4,3
3546,2015-11-22,whole milk,8,4,8
3797,2015-08-23,root vegetables,15,4,2
4607,2015-12-15,ice cream,8,4,1
4522,2015-05-18,canned beer,8,4,6
4695,2015-10-13,tropical fruit,26,4,3
4919,2015-03-30,citrus fruit,8,4,2
3289,2015-03-15,specialty chocolate,29,4,2
1200,2015-09-26,candy,8,4,1
3789,2015-09-06,margarine,11,4,1
1289,2015-11-08,other vegetables,11,4,6
2415,2015-04-29,tropical fruit,14,4,3
1943,2015-09-30,tropical fruit,20,4,3
3685,2015-08-26,specialty chocolate,10,4,1
3447,2015-11-27,frankfurter,13,4,4
2164,2015-10-08,misc. beverages,25,4,1
4107,2015-02-05,tropical fruit,12,4,2
2744,2015-05-19,ham,8,4,3
1051,2015-08-12,other vegetables,20,4,3
2087,2015-04-09,tropical fruit,10,4,4
1020,2015-10-13,canned beer,10,4,3
4546,2015-04-09,beef,11,2,2
1182,2015-11-29,hamburger meat,16,2,1
2727,2015-12-15,whole milk,10,2,4
4314,2015-04-29,finished products,17,2,1
2745,2015-02-19,other vegetables,15,2,4
3147,2015-02-20,citrus fruit,5,2,3
2677,2015-12-07,sausage,6,2,2
2321,2015-04-08,sausage,13,2,3
4708,2015-10-02,pork,14,2,1
3225,2015-12-12,berries,18,2,1
3401,2015-09-28,sausage,10,2,3
3735,2015-04-27,berries,9,2,1
2486,2015-11-25,sausage,5,2,3
4790,2015-08-15,pasta,11,2,1
1730,2015-09-19,other vegetables,8,2,7
4724,2015-02-12,sausage,4,2,2
4951,2015-01-09,other vegetables,13,2,4
1341,2015-10-30,frankfurter,12,2,1
4519,2015-09-02,sausage,5,2,2
2914,2015-04-01,UHT-milk,9,2,1
3916,2015-10-04,whole milk,6,2,7
4145,2015-04-11,misc. beverages,6,2,1
3657,2015-01-27,liver loaf,20,2,1
2546,2015-05-07,pet care,5,2,1
2738,2015-02-03,whole milk,21,2,5
1491,2015-12-30,chicken,11,2,1
3268,2015-04-18,dessert,16,2,2
1820,2015-04-07,pork,10,2,3
1923,2015-12-06,beef,12,2,1
2968,2015-10-17,soda,2,2,3
4970,2015-08-08,pet care,7,2,1
4827,2015-10-03,root vegetables,14,2,3
3474,2015-04-07,tropical fruit,16,2,2
4417,2015-03-19,chicken,15,2,1
3061,2015-11-05,soda,8,2,1
4364,2015-05-25,chicken,22,2,2
2887,2015-01-17,tropical fruit,4,2,1
1292,2015-10-24,beverages,4,2,1
1693,2015-12-27,onions,12,2,1
2267,2015-01-07,whole milk,15,2,4
2663,2015-09-10,chicken,27,2,1
1551,2015-06-11,tropical fruit,13,2,2
3421,2015-05-12,citrus fruit,11,2,1
2785,2015-07-12,semi-finished bread,10,2,2
4326,2015-05-02,tropical fruit,12,2,3
2871,2015-12-20,hamburger meat,8,2,1
4969,2015-05-26,sausage,13,2,2
3463,2015-09-24,tropical fruit,8,2,2
1504,2015-11-30,curd,11,2,1
2528,2015-10-19,tropical fruit,7,2,3
1959,2015-05-15,tropical fruit,19,2,5
2479,2015-01-13,whole milk,10,2,5
4809,2015-04-13,zwieback,12,2,1
4047,2015-03-06,cream cheese ,4,2,1
2781,2015-01-11,rolls/buns,13,2,5
1837,2015-01-03,meat,12,2,1
3288,2015-04-26,brown bread,6,2,2
1152,2015-04-20,soda,8,2,4
1641,2015-06-23,UHT-milk,12,2,1
2685,2015-07-19,frankfurter,12,2,2
3599,2015-01-08,meat,11,2,1
2114,2015-11-06,whole milk,6,2,7
2019,2015-09-08,sausage,18,2,3
4019,2015-03-19,herbs,17,2,1
3663,2015-06-28,whole milk,19,2,5
3170,2015-12-03,other vegetables,12,2,2
3537,2015-09-24,brown bread,13,2,1
3918,2015-06-22,whipped/sour cream,13,2,3
3507,2015-07-22,other vegetables,18,2,3
4453,2015-05-22,pork,18,2,2
2769,2015-07-31,flower soil/fertilizer,12,2,1
4151,2015-11-02,whole milk,2,2,4
2291,2015-04-10,grapes,12,2,1
1677,2015-02-21,liver loaf,11,2,1
1499,2015-03-06,rolls/buns,10,2,3
2274,2015-01-05,citrus fruit,11,2,1
2186,2015-04-02,sausage,20,2,3
4437,2015-08-07,pastry,23,2,1
4856,2015-01-03,beverages,8,2,2
3413,2015-09-23,beverages,10,2,1
4741,2015-09-25,other vegetables,17,2,1
4406,2015-05-27,tropical fruit,17,2,6
2601,2015-04-30,beef,19,2,2
4845,2015-10-12,frozen dessert,8,2,1
3695,2015-07-09,soda,8,2,3
2202,2015-02-28,pork,13,2,2
1027,2015-02-25,rolls/buns,9,2,3
1744,2015-09-28,domestic eggs,4,2,1
4864,2015-12-04,whole milk,25,2,4
3730,2015-07-27,candy,8,2,1
2127,2015-01-01,pork,12,2,1
2672,2015-11-26,frankfurter,12,2,2
1930,2015-02-02,ham,13,2,3
3623,2015-05-07,salty snack,4,2,2
4082,2015-05-01,whole milk,11,2,6
4387,2015-07-26,canned beer,17,2,1
4424,2015-08-22,newspapers,8,2,1
3630,2015-07-24,hard cheese,4,2,1
2202,2015-05-28,tropical fruit,13,2,2
3036,2015-09-18,yogurt,17,2,2
4529,2015-05-10,tropical fruit,10,2,2
1968,2015-02-16,whole milk,11,2,5
1511,2015-03-22,ice cream,4,2,1
1503,2015-08-17,bottled beer,9,2,1
2091,2015-07-30,citrus fruit,11,2,1
1651,2015-02-22,hamburger meat,16,2,2
1553,2015-03-20,frozen fish,14,2,1
4746,2015-12-09,frozen vegetables,14,2,2
2902,2015-06-12,tropical fruit,7,2,1
4205,2015-01-29,citrus fruit,4,2,3
1508,2015-11-15,sausage,8,2,3
2403,2015-12-01,whipped/sour cream,13,2,1
4705,2015-05-22,sausage,10,2,2
1285,2015-07-21,yogurt,14,2,4
4238,2015-12-03,pastry,8,2,2
1938,2015-05-08,pork,10,2,1
3402,2015-05-23,curd,21,2,1
4031,2015-10-18,sausage,7,2,1
1739,2015-05-31,sausage,4,2,2
2104,2015-02-27,berries,9,2,1
4516,2015-12-07,root vegetables,7,2,1
3485,2015-07-22,rolls/buns,6,2,5
4462,2015-06-07,domestic eggs,12,2,1
2544,2015-01-29,tidbits,9,2,1
2805,2015-08-30,curd,11,2,2
2969,2015-08-24,hygiene articles,8,2,2
3563,2015-11-25,spread cheese,8,2,1
2683,2015-01-18,berries,8,2,1
3776,2015-07-18,coffee,17,2,2
1331,2015-11-29,other vegetables,9,2,7
1498,2015-05-28,frankfurter,8,2,3
3890,2015-01-11,sausage,9,2,2
4559,2015-02-07,ice cream,10,2,1
2723,2015-01-31,frankfurter,10,2,2
2925,2015-12-11,dessert,16,2,1
3684,2015-02-15,ham,13,2,1
1770,2015-11-19,semi-finished bread,10,2,1
3661,2015-06-17,whole milk,12,2,3
1044,2015-10-25,root vegetables,4,2,4
3031,2015-11-25,beef,15,2,2
3028,2015-05-19,citrus fruit,15,2,2
3035,2015-03-04,citrus fruit,13,2,2
3189,2015-11-23,bottled water,17,2,2
3766,2015-11-08,pork,9,2,3
4540,2015-08-04,frankfurter,12,2,3
4362,2015-07-11,berries,15,2,1
4355,2015-11-21,bottled beer,9,2,2
1510,2015-10-25,ham,18,2,2
4299,2015-08-14,whole milk,15,2,7
1982,2015-12-14,coffee,7,2,2
3365,2015-08-13,chicken,15,2,2
3653,2015-11-09,frankfurter,11,2,2
1795,2015-04-03,beef,4,2,2
4693,2015-04-24,canned beer,18,2,3
4219,2015-10-16,rolls/buns,8,2,5
3636,2015-05-14,whole milk,8,2,6
1595,2015-04-11,pip fruit,22,2,1
3196,2015-05-05,soda,5,2,3
2657,2015-05-21,bottled beer,6,2,2
4656,2015-10-14,frankfurter,21,2,2
4239,2015-02-11,sausage,4,2,1
1510,2015-08-21,other vegetables,18,2,6
3462,2015-01-21,soda,25,2,7
3794,2015-11-01,onions,11,2,2
1408,2015-03-01,root vegetables,7,2,1
3686,2015-08-29,other vegetables,9,2,2
2273,2015-02-28,chewing gum,14,2,1
4693,2015-03-13,fruit/vegetable juice,18,2,2
2597,2015-02-13,pork,15,2,1
1551,2015-07-21,dessert,13,2,2
2888,2015-01-08,flour,9,2,1
1631,2015-08-14,tropical fruit,5,2,3
3564,2015-07-04,pip fruit,8,2,3
4277,2015-11-25,yogurt,23,2,4
4410,2015-10-12,ice cream,11,2,1
3455,2015-11-18,pastry,8,2,1
2467,2015-07-05,whole milk,12,2,6
2235,2015-01-19,citrus fruit,13,2,2
2145,2015-01-21,onions,5,2,1
3310,2015-03-08,berries,11,2,1
2876,2015-09-19,tropical fruit,12,2,3
3736,2015-02-26,bottled water,12,2,2
3402,2015-08-16,whole milk,21,2,4
1397,2015-12-21,UHT-milk,2,2,1
3497,2015-08-15,pork,23,2,2
3044,2015-06-07,pastry,19,2,1
1296,2015-11-23,other vegetables,17,2,3
3999,2015-11-16,frozen meals,13,2,1
2492,2015-11-10,root vegetables,21,2,5
1572,2015-09-21,soda,20,2,1
4224,2015-01-29,chicken,12,2,1
2352,2015-01-31,dessert,6,2,1
3609,2015-02-23,sausage,10,2,3
4142,2015-11-17,other vegetables,2,2,6
2736,2015-12-26,soda,23,2,3
2517,2015-03-20,beef,27,2,2
4999,2015-02-18,berries,16,2,3
4338,2015-03-24,ham,28,2,3
